policy_id,diversity_condition,opponent,eval_seed,win,loss,draw,score_margin,blue_score,red_score,seen_in_training,arm,train_seed
vgc_s_op7_seed3900007,S_OP7,OP6,9300000,0,1,0,-2.0,1.0,3.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300001,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300002,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300003,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300004,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300005,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300006,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300007,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300008,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300009,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300010,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300011,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300012,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300013,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300014,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300015,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300016,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300017,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300018,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300019,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300020,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300021,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300022,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300023,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300024,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300025,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300026,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300027,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300028,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300029,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300030,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300031,1,0,0,3.0,3.0,0.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300032,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300033,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300034,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300035,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300036,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300037,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300038,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300039,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300040,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300041,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300042,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300043,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300044,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300045,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300046,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300047,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300048,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300049,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300050,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300051,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300052,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300053,1,0,0,1.0,3.0,2.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300054,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300055,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300056,1,0,0,2.0,3.0,1.0,False,PRIMARY,3900007
vgc_s_op7_seed3900007,S_OP7,OP6,9300057,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3900007
